,mrna,gene,protein ID,transcript ID
0,mRNA_4,gene_4,10,698
1,mRNA_5,gene_5,11,699
2,mRNA_7,gene_7,13,701
3,mRNA_9,gene_9,15,703
4,mRNA_16,gene_16,24,712
5,mRNA_20,gene_20,28,716
6,mRNA_23,gene_23,31,719
7,mRNA_11,gene_11,50,738
8,mRNA_10,gene_10,51,739
9,mRNA_6,gene_6,55,743
10,mRNA_19,gene_19,237,925
11,mRNA_14,gene_14,495,1183
12,mRNA_33,gene_33,723,1411
13,mRNA_27,gene_27,729,1417
14,mRNA_30,gene_30,740,1428
15,mRNA_34,gene_34,744,1432
16,mRNA_41,gene_41,828,1516
17,mRNA_43,gene_43,867,1555
18,mRNA_85,gene_85,921,1609
19,mRNA_81,gene_81,927,1615
20,mRNA_76,gene_76,933,1621
21,mRNA_73,gene_73,937,1625
22,mRNA_70,gene_70,941,1629
23,mRNA_49,gene_49,982,1670
24,mRNA_86,gene_86,1028,1716
25,mRNA_65,gene_65,1694,2382
26,mRNA_89,gene_89,3110,3798
27,mRNA_96,gene_96,3144,3832
28,mRNA_97,gene_97,3152,3840
29,mRNA_101,gene_101,3157,3845
30,mRNA_104,gene_104,3161,3849
31,mRNA_107,gene_107,3164,3852
32,mRNA_117,gene_117,3174,3862
33,mRNA_124,gene_124,3183,3871
34,mRNA_128,gene_128,3186,3874
35,mRNA_129,gene_129,3187,3875
36,mRNA_119,gene_119,3203,3891
37,mRNA_112,gene_112,3210,3898
38,mRNA_109,gene_109,3213,3901
39,mRNA_105,gene_105,3218,3906
40,mRNA_100,gene_100,3413,4101
41,mRNA_143,gene_143,3729,4417
42,mRNA_146,gene_146,3732,4420
43,mRNA_147,gene_147,3734,4422
44,mRNA_149,gene_149,3736,4424
45,mRNA_137,gene_137,3746,4434
46,mRNA_145,gene_145,3755,4443
47,mRNA_144,gene_144,3772,4460
48,mRNA_138,gene_138,3780,4468
49,mRNA_136,gene_136,4204,4892
50,mRNA_152,gene_152,4224,4912
51,mRNA_153,gene_153,4225,4913
52,mRNA_166,gene_166,4247,4935
53,mRNA_158,gene_158,4256,4944
54,mRNA_171,gene_171,4473,5161
55,mRNA_172,gene_172,4474,5162
56,mRNA_178,gene_178,4481,5169
57,mRNA_181,gene_181,4484,5172
58,mRNA_182,gene_182,4534,5222
59,mRNA_188,gene_188,4540,5228
60,mRNA_186,gene_186,4546,5234
61,mRNA_183,gene_183,4549,5237
62,mRNA_196,gene_196,4556,5244
63,mRNA_194,gene_194,4558,5246
64,mRNA_193,gene_193,4559,5247
65,mRNA_192,gene_192,4560,5248
66,mRNA_198,gene_198,4705,5393
67,mRNA_208,gene_208,4744,5432
68,mRNA_207,gene_207,4745,5433
69,mRNA_206,gene_206,4746,5434
70,mRNA_205,gene_205,4749,5437
71,mRNA_203,gene_203,4751,5439
72,mRNA_213,gene_213,4796,5484
73,mRNA_219,gene_219,5334,6022
74,mRNA_230,gene_230,6587,7275
75,mRNA_231,gene_231,6588,7276
76,mRNA_235,gene_235,6593,7281
77,mRNA_243,gene_243,6600,7288
78,mRNA_253,gene_253,6612,7300
79,mRNA_254,gene_254,6613,7301
