name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,score,name2,cdsStartStat,cdsEndStat,exonFrames
mRNA_8651,scaffold_26,-,212841,214024,212841,214024,2,"212841,213762,","213740,214024,",0,gene_8651,cmpl,cmpl,"1,0,"
mRNA_10048,scaffold_63,+,9472,10461,9594,10139,1,"9472,","10461,",0,gene_10048,cmpl,cmpl,"0,"
mRNA_9338,scaffold_39,-,2,545,2,545,1,"2,","545,",0,gene_9338,cmpl,cmpl,"0,"
mRNA_5124,scaffold_7,-,903036,903761,903036,903669,1,"903036,","903761,",0,gene_5124,cmpl,cmpl,"0,"
mRNA_5105,scaffold_7,+,863746,865979,863950,865979,3,"863746,865047,865973,","865005,865909,865979,",0,gene_5105,cmpl,cmpl,"0,2,0,"
mRNA_5073,scaffold_7,-,808520,809923,808536,809433,2,"808520,809685,","809632,809923,",0,gene_5073,cmpl,cmpl,"0,-1,"
mRNA_5010,scaffold_7,+,691055,692590,691208,692590,2,"691055,692548,","692519,692590,",0,gene_5010,cmpl,cmpl,"0,0,"
mRNA_4996,scaffold_7,-,668306,670829,668453,670496,1,"668306,","670829,",0,gene_4996,cmpl,cmpl,"0,"
mRNA_4873,scaffold_7,+,389801,390942,389997,390942,1,"389801,","390942,",0,gene_4873,cmpl,cmpl,"0,"
mRNA_4853,scaffold_7,+,333734,335756,334180,335608,1,"333734,","335756,",0,gene_4853,cmpl,cmpl,"0,"
mRNA_4755,scaffold_7,-,112739,115672,112810,115630,1,"112739,","115672,",0,gene_4755,cmpl,cmpl,"0,"
mRNA_5075,scaffold_7,-,810845,812386,810845,812386,7,"810845,811205,811310,811407,811452,811954,812349,","811126,811277,811365,811428,811881,812217,812386,",0,gene_5075,cmpl,cmpl,"1,1,0,0,0,1,0,"
mRNA_4991,scaffold_7,+,660638,661707,660678,661707,2,"660638,661432,","661375,661707,",0,gene_4991,cmpl,cmpl,"0,1,"
mRNA_4896,scaffold_7,-,452114,453936,452426,453936,11,"452114,452545,452647,452746,452850,453117,453351,453424,453557,453637,453746,","452507,452611,452719,452819,453060,453328,453395,453521,453604,453719,453936,",0,gene_4896,cmpl,cmpl,"0,0,0,2,2,1,2,1,2,1,0,"
mRNA_4882,scaffold_7,+,410078,413153,410411,413153,2,"410078,410875,","410797,413153,",0,gene_4882,cmpl,cmpl,"0,2,"
mRNA_4869,scaffold_7,-,377080,380319,377241,380319,3,"377080,378306,380198,","377727,380129,380319,",0,gene_4869,cmpl,cmpl,"0,1,0,"
mRNA_4851,scaffold_7,+,327519,331067,327519,331065,5,"327519,328447,330493,330880,330964,","328180,330388,330829,330934,331067,",0,gene_4851,cmpl,cmpl,"0,1,1,1,1,"
mRNA_4932,scaffold_7,-,526838,527965,527078,527927,1,"526838,","527965,",0,gene_4932,cmpl,cmpl,"0,"
mRNA_4919,scaffold_7,-,499464,501438,499464,501232,2,"499464,500754,","500678,501438,",0,gene_4919,cmpl,cmpl,"1,0,"
mRNA_4781,scaffold_7,+,170851,175033,170851,174772,1,"170851,","175033,",0,gene_4781,cmpl,cmpl,"0,"
mRNA_4753,scaffold_7,+,111020,111791,111020,111791,1,"111020,","111791,",0,gene_4753,cmpl,cmpl,"0,"
mRNA_4728,scaffold_7,-,63160,64257,63529,64257,2,"63160,64046,","64020,64257,",0,gene_4728,cmpl,cmpl,"1,0,"
mRNA_4724,scaffold_7,-,59055,59875,59112,59875,2,"59055,59657,","59605,59875,",0,gene_4724,cmpl,cmpl,"2,0,"
mRNA_5076,scaffold_7,+,813543,814794,813758,814721,1,"813543,","814794,",0,gene_5076,cmpl,cmpl,"0,"
mRNA_4983,scaffold_7,+,642402,643698,642402,643698,1,"642402,","643698,",0,gene_4983,cmpl,cmpl,"0,"
mRNA_4929,scaffold_7,-,515628,520739,515929,520585,1,"515628,","520739,",0,gene_4929,cmpl,cmpl,"0,"
mRNA_4879,scaffold_7,-,404971,405877,405051,405801,1,"404971,","405877,",0,gene_4879,cmpl,cmpl,"0,"
mRNA_5088,scaffold_7,+,829961,831116,829961,831116,2,"829961,830071,","830002,831116,",0,gene_5088,cmpl,cmpl,"0,2,"
mRNA_5074,scaffold_7,+,810281,810728,810281,810728,3,"810281,810432,810602,","810379,810583,810728,",0,gene_5074,cmpl,cmpl,"0,2,0,"
mRNA_5037,scaffold_7,-,741893,742754,741893,742754,1,"741893,","742754,",0,gene_5037,cmpl,cmpl,"0,"
mRNA_5021,scaffold_7,+,711221,712607,711221,712607,1,"711221,","712607,",0,gene_5021,cmpl,cmpl,"0,"
mRNA_5000,scaffold_7,+,677321,678425,677321,678425,1,"677321,","678425,",0,gene_5000,cmpl,cmpl,"0,"
mRNA_4964,scaffold_7,-,603538,604315,603538,604315,1,"603538,","604315,",0,gene_4964,cmpl,cmpl,"0,"
mRNA_4960,scaffold_7,-,597490,598792,597490,598792,2,"597490,598758,","598692,598792,",0,gene_4960,cmpl,cmpl,"1,0,"
mRNA_4944,scaffold_7,+,551376,553053,551376,553053,2,"551376,551682,","551580,553053,",0,gene_4944,cmpl,cmpl,"0,0,"
mRNA_4922,scaffold_7,-,504548,505599,504548,505599,4,"504548,504694,505147,505247,","504675,505124,505177,505599,",0,gene_4922,cmpl,cmpl,"2,1,1,0,"
mRNA_4915,scaffold_7,+,494516,495885,494516,495885,4,"494516,495123,495205,495740,","495102,495184,495688,495885,",0,gene_4915,cmpl,cmpl,"0,1,2,2,"
mRNA_4914,scaffold_7,+,492688,494237,492688,494237,3,"492688,492866,493329,","492718,493284,494237,",0,gene_4914,cmpl,cmpl,"0,0,1,"
mRNA_4856,scaffold_7,-,338662,339307,338662,339307,1,"338662,","339307,",0,gene_4856,cmpl,cmpl,"0,"
mRNA_4845,scaffold_7,-,313164,313908,313164,313908,1,"313164,","313908,",0,gene_4845,cmpl,cmpl,"0,"
mRNA_4821,scaffold_7,-,254530,256102,254530,256102,1,"254530,","256102,",0,gene_4821,cmpl,cmpl,"0,"
mRNA_4795,scaffold_7,-,202473,203371,202473,203371,2,"202473,202612,","202518,203371,",0,gene_4795,cmpl,cmpl,"0,0,"
mRNA_4785,scaffold_7,-,180164,181160,180164,181160,2,"180164,180272,","180245,181160,",0,gene_4785,cmpl,cmpl,"0,0,"
mRNA_4778,scaffold_7,-,165121,166552,165121,166552,3,"165121,165184,166527,","165163,166461,166552,",0,gene_4778,cmpl,cmpl,"0,1,0,"
mRNA_4759,scaffold_7,-,127163,128300,127163,128300,2,"127163,128161,","128095,128300,",0,gene_4759,cmpl,cmpl,"1,0,"
mRNA_4727,scaffold_7,+,62801,63431,62801,63431,4,"62801,62999,63159,63398,","62974,63132,63345,63431,",0,gene_4727,cmpl,cmpl,"0,2,0,0,"
mRNA_4719,scaffold_7,+,52291,54021,52291,54021,5,"52291,52393,52603,53681,53762,","52363,52582,53651,53739,54021,",0,gene_4719,cmpl,cmpl,"0,0,0,1,2,"
mRNA_4718,scaffold_7,+,49662,51790,49662,51790,2,"49662,51583,","51558,51790,",0,gene_4718,cmpl,cmpl,"0,0,"
mRNA_4694,scaffold_7,+,268,2502,268,2502,3,"268,1704,2452,","1072,2428,2502,",0,gene_4694,cmpl,cmpl,"0,0,1,"
